Date,Open,High,Low,Close,Adj Close,Volume
2022-07-29,1685.003174,1716.458252,1618.741821,1681.366699,1681.366699,3177155
2022-07-30,1681.589844,1695.342285,1634.663574,1653.046997,1653.046997,2039321
2022-07-31,1652.900513,1705.798218,1630.955078,1640.539673,1640.539673,1591511
2022-08-01,1640.356934,1660.524536,1572.480469,1595.321411,1595.321411,1740732
2022-08-02,1594.679932,1633.870483,1529.464600,1594.174438,1594.174438,2317811
2022-08-03,1594.620483,1633.734009,1555.522095,1577.040039,1577.040039,1992802
2022-08-04,1577.157227,1613.447266,1541.500488,1564.425903,1564.425903,1981669
2022-08-05,1562.729492,1681.367310,1562.603760,1679.930420,1679.930420,2341792
2022-08-06,1680.340332,1689.964355,1630.947754,1630.947754,1630.947754,1635889
2022-08-07,1631.232300,1664.846436,1614.710327,1637.930298,1637.930298,1425523
2022-08-08,1638.123779,1741.941895,1634.722534,1714.865234,1714.865234,1815270
2022-08-09,1716.117798,1725.762573,1614.130249,1641.622437,1641.622437,2096504
2022-08-10,1640.809814,1802.450562,1604.621948,1785.733398,1785.733398,3735955
2022-08-11,1785.866333,1866.846191,1785.367798,1824.741699,1824.741699,4734840
2022-08-12,1824.582642,1898.729980,1806.827148,1898.729980,1898.729980,3880296
2022-08-13,1898.958862,1957.323730,1893.587402,1931.248169,1931.248169,4000929
2022-08-14,1931.622070,1966.905396,1869.450317,1887.377441,1887.377441,3726477
2022-08-15,1887.387451,1953.649780,1830.951660,1849.756348,1849.756348,3957700
2022-08-16,1848.854614,1859.045288,1807.927368,1825.473633,1825.473633,4221905
2022-08-17,1825.491211,1897.969360,1775.532959,1783.437744,1783.437744,3506628
2022-08-18,1783.645264,1825.522339,1776.804199,1797.949951,1797.949951,4173481
2022-08-19,1798.119385,1798.119385,1565.835083,1567.681152,1567.681152,4650377
2022-08-20,1567.338989,1605.730347,1493.125977,1533.139404,1533.139404,2883463
2022-08-21,1532.799438,1596.514771,1524.318848,1573.742188,1573.742188,3766811
2022-08-22,1573.208740,1581.655518,1495.236206,1581.649170,1581.649170,3320360
2022-08-23,1581.946899,1621.888550,1529.214233,1615.995239,1615.995239,3062685
2022-08-24,1615.695923,1645.499756,1563.652222,1618.967285,1618.967285,3828942
2022-08-25,1619.012329,1676.116699,1613.717407,1652.899292,1652.899292,4783756
2022-08-26,1652.844116,1652.920532,1459.366943,1465.255981,1465.255981,6382563
2022-08-27,1465.457275,1473.485352,1410.373779,1447.404907,1447.404907,4169358
2022-08-28,1447.288330,1461.164063,1386.716431,1386.716431,1386.716431,4823965
2022-08-29,1386.678589,1516.834473,1385.369507,1512.573120,1512.573120,6873093
2022-08-30,1512.604980,1557.394287,1440.245605,1482.167847,1482.167847,5360814
2022-08-31,1482.758789,1570.647339,1482.758789,1510.687500,1510.687500,7586135
2022-09-01,1510.801270,1548.907593,1479.541992,1540.619141,1540.619141,5599864
2022-09-02,1540.537109,1589.074219,1504.055908,1527.073486,1527.073486,5357834
2022-09-03,1526.727295,1530.275513,1493.077393,1508.045044,1508.045044,4405881
2022-09-04,1508.010620,1528.932495,1495.364624,1525.946777,1525.946777,4546040
2022-09-05,1525.949829,1567.436768,1511.512939,1563.285278,1563.285278,5316269
2022-09-06,1563.382690,1622.355103,1496.486206,1496.891235,1496.891235,7493711
2022-09-07,1497.020508,1587.174072,1438.182373,1566.211182,1566.211182,13066428
2022-09-08,1566.282227,1591.958252,1541.620483,1577.714722,1577.714722,12772424
2022-09-09,1577.576416,1677.965088,1574.889404,1667.034058,1667.034058,19110278
2022-09-10,1666.953003,1735.106812,1657.632935,1726.472046,1726.472046,14812750
2022-09-11,1726.248291,1737.463745,1688.228271,1715.558228,1715.558228,15252017
2022-09-12,1715.704224,1728.242920,1655.251221,1668.006226,1668.006226,19544510
2022-09-13,1667.998047,1699.420532,1514.309814,1532.426758,1532.426758,17096949
2022-09-14,1527.114380,1595.714111,1514.309814,1588.064941,1588.064941,13777778
2022-09-15,1588.680176,1611.777100,1449.642212,1454.521606,1454.521606,18124214
2022-09-16,1454.597168,1463.891479,1399.511963,1416.318970,1416.318970,11934461
2022-09-17,1416.668945,1459.013550,1400.894775,1457.794434,1457.794434,7909072
2022-09-18,1457.915894,1457.915894,1321.008423,1324.191772,1324.191772,8537375
2022-09-19,1324.089111,1373.510254,1277.910522,1363.956177,1363.956177,12035242
2022-09-20,1363.985718,1368.318726,1310.025879,1316.258789,1316.258789,12245864
2022-09-21,1316.092041,1368.543701,1221.418091,1243.193848,1243.193848,14204141
2022-09-22,1242.338501,1327.072388,1232.614868,1319.767212,1319.767212,10733805
2022-09-23,1319.543701,1346.350342,1265.706909,1321.169312,1321.169312,12532425
2022-09-24,1321.039673,1339.380615,1305.644165,1310.541504,1310.541504,8159518
2022-09-25,1310.311279,1326.868042,1270.198608,1288.985840,1288.985840,7957584
2022-09-26,1289.176270,1330.886353,1278.829956,1325.492310,1325.492310,11808675
2022-09-27,1325.737549,1394.812866,1304.943604,1324.592407,1324.592407,11073594
2022-09-28,1324.296265,1350.335205,1261.468018,1329.917358,1329.917358,13759506
2022-09-29,1330.116577,1344.959229,1286.682861,1330.457031,1330.457031,12597563
2022-09-30,1330.494507,1368.198853,1314.689453,1323.510742,1323.510742,8845799
2022-10-01,1323.505981,1330.309082,1301.777222,1308.210571,1308.210571,2162082
2022-10-02,1308.395874,1314.685303,1270.443970,1271.590820,1271.590820,3050168
2022-10-03,1271.685547,1319.067993,1268.343018,1316.459229,1316.459229,3299380
2022-10-04,1316.266113,1359.745483,1311.372559,1354.869873,1354.869873,3188536
2022-10-05,1354.715820,1355.966797,1311.346436,1344.797485,1344.797485,3222700
2022-10-06,1344.865967,1374.417480,1341.205811,1345.549072,1345.549072,3425731
2022-10-07,1345.826050,1353.220459,1312.885864,1321.872314,1321.872314,3286917
2022-10-08,1321.751099,1327.172852,1294.691650,1307.087280,1307.087280,2394353
2022-10-09,1307.553955,1318.634521,1300.368164,1312.217651,1312.217651,2301905
2022-10-10,1312.136841,1325.349731,1283.637207,1283.637573,1283.637573,3274585
2022-10-11,1283.561523,1287.992065,1263.153076,1272.072754,1272.072754,3371028
2022-10-12,1272.212036,1300.140869,1270.291504,1287.026123,1287.026123,2608202
2022-10-13,1286.961304,1292.338013,1197.741455,1282.025269,1282.025269,3438133
2022-10-14,1281.966187,1331.267822,1278.096069,1289.802246,1289.802246,5362641
2022-10-15,1289.760010,1294.298828,1259.162964,1269.726563,1269.726563,2241242
2022-10-16,1269.938965,1306.483765,1268.911377,1300.303223,1300.303223,2329898
2022-10-17,1300.117798,1329.463135,1287.297729,1324.395996,1324.395996,2758632
2022-10-18,1324.401733,1331.538574,1281.730103,1304.210205,1304.210205,2789468
2022-10-19,1304.366943,1305.050293,1274.679932,1277.637451,1277.637451,2654899
2022-10-20,1277.335571,1303.236694,1264.729248,1277.838867,1277.838867,2773325
2022-10-21,1277.944580,1297.746948,1256.431641,1293.192871,1293.192871,2677562
2022-10-22,1293.166748,1313.196655,1289.983765,1309.510742,1309.510742,2395562
2022-10-23,1309.482056,1364.178955,1295.196655,1361.773193,1361.773193,1811738
2022-10-24,1361.700684,1366.145630,1325.579102,1338.282837,1338.282837,1198908
2022-10-25,1338.066650,1504.135498,1330.213135,1453.531128,1453.531128,1684550
2022-10-26,1452.921753,1577.044800,1452.921753,1564.703979,1564.703979,414726428
2022-10-27,1564.856689,1569.662964,1505.924194,1509.839844,1509.839844,2523603
2022-10-28,1509.840332,1563.605103,1488.958252,1551.775513,1551.775513,2864688
2022-10-29,1551.700684,1647.861084,1545.062378,1614.005127,1614.005127,3001442
2022-10-30,1614.035889,1634.898560,1574.917236,1587.788452,1587.788452,970498
2022-10-31,1587.649902,1627.014282,1545.080566,1570.442993,1570.442993,1478093
2022-11-01,1570.444336,1602.627441,1564.418213,1577.310059,1577.310059,1426024
2022-11-02,1577.155518,1608.990479,1506.080444,1520.442871,1520.442871,3360665
2022-11-03,1520.359619,1553.466553,1516.858032,1528.985840,1528.985840,3041296
2022-11-04,1528.979980,1663.111694,1527.240845,1643.239502,1643.239502,2369858
